,index,Sample id,Contig_and_Gene id,Contig id,gene_id,gene_to_int,Target accession,query_name,Accession,Seq e-value,Seq score,Seq bias,dom e-value,dom score,dom bias,exp,reg,clu,ov,env,dom,rep,inc,description of target
10,293,China.pigfarm.SRR5976187,104074_00003,104074,00003,3,-,adeC-adeK-oprM,RF0021,3.9e-69,235.8,9.9,4.4e-69,235.7,9.9,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM
11,239,China.pigfarm.SRR5976187,104074_00004,104074,00004,4,-,RND_efflux,RF0115,8.3e-102,344.1,1.4,1.1e-101,343.8,1.4,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE
12,1329,China.pigfarm.SRR5976187,104379_00002,104379,00002,2,-,vanC,RF0151,2e-45,157.6,0.0,6.1e-45,156.0,0.0,1.6,1,1,0,1,1,1,1,D-alanine--D-alanine ligase
13,748,China.pigfarm.SRR5976187,104388_00005,104388,00005,5,-,ClassB,RF0054,4.9e-05,24.9,0.0,6.6e-05,24.4,0.0,1.2,1,0,0,1,1,1,1,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
14,1355,China.pigfarm.SRR5976187,105103_00003,105103,00003,3,-,vanH,RF0153,1.1e-40,141.8,0.2,1.1e-39,138.5,0.2,1.9,1,1,0,1,1,1,1,Glycerate dehydrogenase
15,1545,China.pigfarm.SRR5976187,105174_00005,105174,00005,5,-,APH3'',RF0172,8.8e-13,50.4,0.5,5.4e-12,47.9,0.5,1.9,1,1,0,1,1,1,1,30S ribosomal protein S12
16,1008,China.pigfarm.SRR5976187,105174_00007,105174,00007,7,-,tet_ribosomoal_protect,RF0135,2e-94,319.3,0.0,2e-92,312.7,0.0,2.7,1,1,0,1,1,1,1,Elongation factor G
17,459,China.pigfarm.SRR5976187,105254_00006,105254,00006,6,-,blaI,RF0042,7.3e-07,31.4,0.0,9.3e-07,31.0,0.0,1.0,1,0,0,1,1,1,1,Penicillinase repressor
18,1082,China.pigfarm.SRR5976187,105297_00004,105297,00004,4,-,tet_ribosomoal_protect,RF0135,1.5e-48,167.8,0.0,3.2e-39,137.0,0.1,3.0,1,1,2,3,3,3,2,GTP-binding protein TypA/BipA
19,830,China.pigfarm.SRR5976187,105695_00004,105695,00004,4,-,ClassD,RF0056,1.6e-07,32.9,1.1,0.0014,19.9,0.2,3.4,4,0,0,4,4,4,2,Penicillin-binding protein A
20,817,China.pigfarm.SRR5976187,106310_00003,106310,00003,3,-,ClassC-AmpC,RF0055,1.7e-09,39.1,0.0,5.4e-09,37.4,0.0,1.8,1,1,0,1,1,1,1,hypothetical protein
21,29,China.pigfarm.SRR5976187,107100_00001,107100,00001,1,-,adeA-adeI,RF0019,7.8e-47,162.2,11.7,9.1e-47,162.0,11.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtE
22,170,China.pigfarm.SRR5976187,107100_00002,107100,00002,2,-,RND_efflux,RF0115,2.2e-276,922.1,12.1,6.5e-276,920.5,12.1,1.6,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE
23,296,China.pigfarm.SRR5976187,107100_00003,107100,00003,3,-,adeC-adeK-oprM,RF0021,4.9e-62,212.4,6.7,6.1e-62,212.1,6.7,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM
24,598,China.pigfarm.SRR5976187,107738_00002,107738,00002,2,-,norA,RF0109,2.2e-09,39.4,14.9,2.2e-09,39.4,14.9,2.0,1,1,1,2,2,2,1,hypothetical protein
25,538,China.pigfarm.SRR5976187,107821_00002,107821,00002,2,-,Chlor_Acetyltrans_CAT,RF0050,2.7e-10,42.5,0.1,4.1e-10,41.9,0.1,1.3,1,1,0,1,1,1,1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
26,1062,China.pigfarm.SRR5976187,108362_00026,108362,00026,26,-,tet_ribosomoal_protect,RF0135,1.6e-58,200.7,0.0,3.1e-58,199.8,0.0,1.3,1,1,0,1,1,1,1,Peptide chain release factor 3
27,1036,China.pigfarm.SRR5976187,108362_00037,108362,00037,37,-,tet_ribosomoal_protect,RF0135,4.1e-73,248.9,0.0,1e-53,184.8,0.0,2.6,2,1,0,2,2,2,2,Elongation factor G
28,1394,China.pigfarm.SRR5976187,108474_00011,108474,00011,11,-,vanH,RF0153,4.3e-28,100.4,0.2,3.7e-27,97.3,0.2,1.9,1,1,0,1,1,1,1,Hydroxypyruvate reductase
29,931,China.pigfarm.SRR5976187,109163_00003,109163,00003,3,-,MexH,RF0099,4.9e-06,28.3,1.9,6.8e-06,27.8,1.9,1.1,1,0,0,1,1,1,1,Multidrug resistance protein MdtA
30,225,China.pigfarm.SRR5976187,109163_00004,109163,00004,4,-,RND_efflux,RF0115,6.8e-215,718.5,26.0,8.5e-215,718.2,26.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
31,686,China.pigfarm.SRR5976187,109913_00001,109913,00001,1,-,ClassB,RF0054,6.6e-10,40.8,0.0,7.6e-10,40.6,0.0,1.0,1,0,0,1,1,1,1,Hydroxyacylglutathione hydrolase GloC
32,704,China.pigfarm.SRR5976187,109913_00006,109913,00006,6,-,ClassB,RF0054,6.7e-08,34.3,0.1,9.3e-08,33.8,0.1,1.2,1,0,0,1,1,1,1,Putative metallo-hydrolase YycJ
33,1398,China.pigfarm.SRR5976187,110014_00008,110014,00008,8,-,vanH,RF0153,2.1e-25,91.5,0.0,5.7e-23,83.6,0.0,2.1,1,1,0,1,1,1,1,Erythronate-4-phosphate dehydrogenase
34,405,China.pigfarm.SRR5976187,110433_00002,110433,00002,2,-,adeC-adeK-oprM,RF0021,0.00017,22.7,25.2,0.014,16.3,1.1,4.0,2,1,2,4,4,4,2,hypothetical protein
35,145,China.pigfarm.SRR5976187,110433_00003,110433,00003,3,-,adeA-adeI,RF0019,3.2e-06,28.5,8.6,0.0018,19.4,1.0,2.5,1,1,2,3,3,2,2,Multidrug export protein EmrA
36,878,China.pigfarm.SRR5976187,110653_00043,110653,00043,43,-,Erm23S_rRNA_methyltrans,RF0067,2.1e-38,134.1,0.0,2.3e-38,134.0,0.0,1.1,1,0,0,1,1,1,1,Ribosomal RNA small subunit methyltransferase A
37,952,China.pigfarm.SRR5976187,110807_00002,110807,00002,2,-,norA,RF0109,9.8e-05,24.1,5.2,9.8e-05,24.1,5.2,2.1,2,1,1,3,3,3,1,putative metabolite transport protein CsbC
38,869,China.pigfarm.SRR5976187,110854_00003,110854,00003,3,-,Erm23S_rRNA_methyltrans,RF0067,3.4e-41,143.3,0.0,4.8e-41,142.8,0.0,1.2,1,0,0,1,1,1,1,Ribosomal RNA small subunit methyltransferase A
39,1247,China.pigfarm.SRR5976187,112077_00002,112077,00002,2,-,tet_MFS_efflux,RF0134,7.2e-07,30.6,26.0,0.0024,19.0,17.5,2.9,1,1,2,3,3,3,2,hypothetical protein
40,1165,China.pigfarm.SRR5976187,112793_00002,112793,00002,2,-,tet_ribosomoal_protect,RF0135,7.3e-21,76.3,0.1,1e-20,75.8,0.1,1.1,1,0,0,1,1,1,1,Elongation factor Tu
41,1140,China.pigfarm.SRR5976187,11286_00004,11286,00004,4,-,tet_ribosomoal_protect,RF0135,5.5e-42,146.1,0.0,1.2e-28,102.0,0.0,3.1,2,1,1,3,3,3,2,Elongation factor 4
42,1158,China.pigfarm.SRR5976187,112958_00016,112958,00016,16,-,tet_ribosomoal_protect,RF0135,1.1e-22,82.2,0.1,1.6e-22,81.8,0.1,1.1,1,0,0,1,1,1,1,Elongation factor Tu
43,554,China.pigfarm.SRR5976187,112958_00026,112958,00026,26,-,Chlor_Acetyltrans_CAT,RF0050,1.3e-06,30.4,0.5,2.1e-06,29.8,0.5,1.3,1,0,0,1,1,1,1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
44,408,China.pigfarm.SRR5976187,113248_00003,113248,00003,3,-,ANT2,RF0026,1.2e-05,27.0,0.1,1.3e-05,26.8,0.1,1.1,1,0,0,1,1,1,1,Lincosamide resistance protein
45,856,China.pigfarm.SRR5976187,113452_00020,113452,00020,20,-,Erm23S_rRNA_methyltrans,RF0067,3e-45,156.6,0.0,3.5e-45,156.3,0.0,1.0,1,0,0,1,1,1,1,Ribosomal RNA small subunit methyltransferase A
46,161,China.pigfarm.SRR5976187,113452_00022,113452,00022,22,-,adeA-adeI,RF0019,0.00014,23.1,5.0,0.0052,17.9,0.5,2.4,2,0,0,2,2,2,1,Multidrug resistance protein MdtA
47,218,China.pigfarm.SRR5976187,113452_00023,113452,00023,23,-,RND_efflux,RF0115,6.4e-244,814.6,19.5,7.2e-244,814.4,19.5,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
48,958,China.pigfarm.SRR5976187,113490_00118,113490,00118,118,-,Qnr,RF0113,2.3e-12,49.2,1.1,9.9e-12,47.2,1.1,1.9,1,1,0,1,1,1,1,hypothetical protein
49,1238,China.pigfarm.SRR5976187,113614_00001,113614,00001,1,-,tet_MFS_efflux,RF0134,3.7e-11,44.7,32.8,6.8e-06,27.3,20.5,3.1,1,1,2,3,3,3,2,hypothetical protein
50,275,China.pigfarm.SRR5976187,113628_00001,113628,00001,1,-,RND_efflux,RF0115,2.6e-65,223.3,7.2,2.9e-65,223.2,7.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
51,628,China.pigfarm.SRR5976187,113878_00008,113878,00008,8,-,norA,RF0109,1.8e-06,29.8,6.3,1.8e-06,29.8,6.3,2.3,2,1,0,2,2,2,1,hypothetical protein
52,919,China.pigfarm.SRR5976187,114256_00007,114256,00007,7,-,macrolide_glycosyl,RF0090,7.6e-36,126.0,0.0,1e-35,125.6,0.0,1.0,1,0,0,1,1,1,1,Demethyllactenocin mycarosyltransferase
53,412,China.pigfarm.SRR5976187,114256_00009,114256,00009,9,-,ANT9,RF0030,7.3e-22,80.1,0.0,9.5e-22,79.7,0.0,1.0,1,0,0,1,1,1,1,Streptomycin 3''-adenylyltransferase
54,757,China.pigfarm.SRR5976187,11432_00007,11432,00007,7,-,ClassB,RF0054,8.3e-05,24.1,0.0,0.017,16.6,0.0,2.2,2,0,0,2,2,2,1,hypothetical protein
55,1029,China.pigfarm.SRR5976187,114772_00014,114772,00014,14,-,tet_ribosomoal_protect,RF0135,3.8e-75,255.6,0.0,2.4e-74,253.0,0.0,2.1,1,1,0,1,1,1,1,Elongation factor G
56,637,China.pigfarm.SRR5976187,11489_00003,11489,00003,3,-,Chlor_Phospho_CPT,RF0052,0.00011,24.4,0.0,31.0,6.6,0.0,4.6,4,0,0,4,4,4,2,ATP-dependent zinc metalloprotease FtsH
57,816,China.pigfarm.SRR5976187,114971_00002,114971,00002,2,-,ClassC-AmpC,RF0055,1.6e-09,39.2,0.0,3.1e-09,38.3,0.0,1.4,1,1,0,1,1,1,1,D-aminopeptidase
58,156,China.pigfarm.SRR5976187,116252_00014,116252,00014,14,-,MexH,RF0099,1.2e-09,40.2,1.0,2.8e-09,39.0,1.0,1.5,1,1,0,1,1,1,1,Multidrug resistance protein MdtA
59,224,China.pigfarm.SRR5976187,116252_00015,116252,00015,15,-,RND_efflux,RF0115,6.9e-251,837.7,18.0,8.6e-251,837.4,18.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
60,319,China.pigfarm.SRR5976187,116252_00025,116252,00025,25,-,adeC-adeK-oprM,RF0021,2.4e-19,71.6,8.9,1.6e-18,68.9,4.9,2.0,2,0,0,2,2,2,1,hypothetical protein
61,681,China.pigfarm.SRR5976187,116252_00032,116252,00032,32,-,ClassB,RF0054,9.3e-11,43.6,0.1,1.3e-10,43.2,0.1,1.2,1,0,0,1,1,1,1,Putative metallo-hydrolase YycJ
62,1416,China.pigfarm.SRR5976187,116252_00035,116252,00035,35,-,vanH,RF0153,8e-18,66.7,0.3,6.3e-17,63.7,0.3,1.9,1,1,0,1,1,1,1,Hydroxypyruvate reductase
63,410,China.pigfarm.SRR5976187,11628_00002,11628,00002,2,-,ANT9,RF0030,1.1e-78,266.3,0.0,1.3e-78,266.1,0.0,1.0,1,0,0,1,1,1,1,Streptomycin 3''-adenylyltransferase
64,1363,China.pigfarm.SRR5976187,116562_00007,116562,00007,7,-,vanH,RF0153,7e-37,129.3,0.0,1.4e-36,128.3,0.0,1.4,1,1,0,1,1,1,1,Glycerate dehydrogenase
65,975,China.pigfarm.SRR5976187,116882_00002,116882,00002,2,-,RND_efflux,RF0115,2.5e-05,24.7,2.5,2.5e-05,24.7,2.5,2.0,2,0,0,2,2,2,1,hypothetical protein
66,393,China.pigfarm.SRR5976187,11801_00003,11801,00003,3,-,adeC-adeK-oprM,RF0021,5.5e-07,30.9,14.5,1.4,9.7,3.0,4.3,3,1,0,4,4,4,2,hypothetical protein
67,118,China.pigfarm.SRR5976187,11801_00004,11801,00004,4,-,adeA-adeI,RF0019,1.1e-08,36.6,1.3,0.0043,18.2,0.1,2.3,2,0,0,2,2,2,2,Multidrug resistance protein MdtA
68,256,China.pigfarm.SRR5976187,11801_00005,11801,00005,5,-,RND_efflux,RF0115,1.3e-170,572.0,20.3,1.5e-170,571.7,20.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE
69,268,China.pigfarm.SRR5976187,11801_00006,11801,00006,6,-,RND_efflux,RF0115,8e-110,370.7,0.1,2.4e-109,369.1,0.1,1.6,1,1,0,1,1,1,1,Swarming motility protein SwrC
70,1444,China.pigfarm.SRR5976187,11898_00010,11898,00010,10,-,vanH,RF0153,4.9e-10,41.1,0.1,7.1e-10,40.5,0.1,1.1,1,0,0,1,1,1,1,Glyoxylate/hydroxypyruvate reductase B
71,713,China.pigfarm.SRR5976187,119662_00003,119662,00003,3,-,ClassB,RF0054,4.5e-07,31.6,0.0,6.8e-07,31.0,0.0,1.2,1,0,0,1,1,1,1,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
72,219,China.pigfarm.SRR5976187,119817_00011,119817,00011,11,-,RND_efflux,RF0115,9.4e-248,827.3,23.2,1.2e-247,827.0,23.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
73,127,China.pigfarm.SRR5976187,119817_00012,119817,00012,12,-,adeA-adeI,RF0019,4.4e-08,34.6,1.3,4.5e-07,31.3,1.3,2.2,1,1,0,1,1,1,1,Multidrug resistance protein MdtA
74,1393,China.pigfarm.SRR5976187,120604_00004,120604,00004,4,-,vanH,RF0153,6.3e-29,103.1,0.0,4.2e-27,97.2,0.0,3.0,1,1,0,1,1,1,1,Putative 2-hydroxyacid dehydrogenase
75,635,China.pigfarm.SRR5976187,121362_00004,121362,00004,4,-,tet_MFS_efflux,RF0134,4.1e-21,77.5,19.6,5.1e-21,77.2,19.6,1.0,1,0,0,1,1,1,1,putative sulfoacetate transporter SauU
76,30,China.pigfarm.SRR5976187,121864_00003,121864,00003,3,-,adeA-adeI,RF0019,3.5e-46,160.1,6.5,4.4e-46,159.7,6.5,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtE
77,181,China.pigfarm.SRR5976187,121864_00004,121864,00004,4,-,RND_efflux,RF0115,1.2e-274,916.4,12.7,1.3e-274,916.2,12.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE
78,279,China.pigfarm.SRR5976187,121864_00005,121864,00005,5,-,adeC-adeK-oprM,RF0021,4.5e-84,285.1,14.1,5.3e-84,284.8,14.1,1.0,1,0,0,1,1,1,1,Cation efflux system protein CusC
79,174,China.pigfarm.SRR5976187,122644_00001,122644,00001,1,-,RND_efflux,RF0115,2.3e-278,928.7,17.5,2.8e-278,928.4,17.5,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE
80,23,China.pigfarm.SRR5976187,122644_00002,122644,00002,2,-,adeA-adeI,RF0019,6.4e-50,172.4,9.2,7.5e-50,172.2,9.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtE
81,120,China.pigfarm.SRR5976187,122713_00002,122713,00002,2,-,adeA-adeI,RF0019,1.4e-08,36.2,2.5,2.8e-08,35.3,2.5,1.4,1,0,0,1,1,1,1,hypothetical protein
82,212,China.pigfarm.SRR5976187,122713_00003,122713,00003,3,-,RND_efflux,RF0115,7.8e-242,807.7,19.0,9e-242,807.5,19.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
83,1271,China.pigfarm.SRR5976187,122825_00008,122825,00008,8,-,tet_ribosomoal_protect,RF0135,0.00023,21.8,0.4,0.0035,17.9,0.4,2.2,2,0,0,2,2,2,1,GTPase Der
84,548,China.pigfarm.SRR5976187,12301_00001,12301,00001,1,-,Chlor_Acetyltrans_CAT,RF0050,1.3e-07,33.7,0.5,1.6e-07,33.4,0.5,1.1,1,0,0,1,1,1,1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
85,568,China.pigfarm.SRR5976187,12301_00003,12301,00003,3,-,Chlor_Acetyltrans_CAT,RF0050,0.00031,22.7,0.3,0.0006,21.7,0.3,1.4,1,0,0,1,1,1,1,Putative acetyltransferase
86,396,China.pigfarm.SRR5976187,123018_00001,123018,00001,1,-,adeC-adeK-oprM,RF0021,1.1e-06,30.0,0.9,7.7e-05,23.8,0.3,2.8,3,0,0,3,3,3,1,hypothetical protein
87,234,China.pigfarm.SRR5976187,123018_00002,123018,00002,2,-,RND_efflux,RF0115,7.7e-169,566.1,0.0,9.6e-169,565.7,0.0,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepG
88,93,China.pigfarm.SRR5976187,123018_00003,123018,00003,3,-,MexH,RF0099,5.4e-13,51.2,7.3,7.2e-13,50.8,7.3,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtA
89,907,China.pigfarm.SRR5976187,123151_00011,123151,00011,11,-,Erm23S_rRNA_methyltrans,RF0067,0.00014,23.2,0.1,0.00021,22.6,0.1,1.2,1,0,0,1,1,1,1,Release factor glutamine methyltransferase
90,1300,China.pigfarm.SRR5976187,124069_00007,124069,00007,7,-,vanA,RF0149,6.1e-41,142.9,0.2,1.3e-40,141.8,0.2,1.5,1,1,0,1,1,1,1,D-alanine--D-alanine ligase B
91,814,China.pigfarm.SRR5976187,124069_00027,124069,00027,27,-,ClassC-AmpC,RF0055,6.6e-10,40.5,0.0,9.7e-07,30.0,0.0,2.9,3,0,0,3,3,3,1,putative protein
92,1243,China.pigfarm.SRR5976187,124769_00005,124769,00005,5,-,tet_MFS_efflux,RF0134,1.5e-08,36.1,30.0,1.3e-05,26.5,18.7,3.0,1,1,1,3,3,3,2,hypothetical protein
93,940,China.pigfarm.SRR5976187,124973_00004,124973,00004,4,-,MexH,RF0099,2.3e-05,26.1,0.1,2.3e-05,26.1,0.1,3.1,3,1,0,4,4,3,1,hypothetical protein
94,220,China.pigfarm.SRR5976187,125590_00003,125590,00003,3,-,RND_efflux,RF0115,1.9e-214,717.1,21.3,2.2e-214,716.9,21.3,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
95,939,China.pigfarm.SRR5976187,125590_00004,125590,00004,4,-,MexH,RF0099,5.8e-06,28.1,0.0,1.2e-05,27.0,0.0,1.5,1,1,0,1,1,1,1,hypothetical protein
96,1446,China.pigfarm.SRR5976187,125684_00003,125684,00003,3,-,vanT,RF0156,9.2e-87,294.3,0.0,1.1e-86,294.0,0.0,1.0,1,0,0,1,1,1,1,Alanine racemase 2
97,131,China.pigfarm.SRR5976187,126012_00017,126012,00017,17,-,adeA-adeI,RF0019,1.7e-07,32.7,8.8,1e-06,30.1,8.8,1.9,1,1,0,1,1,1,1,Macrolide export protein MacA
98,1191,China.pigfarm.SRR5976187,126104_00008,126104,00008,8,-,tet_ribosomoal_protect,RF0135,2.5e-13,51.4,0.9,1.7e-11,45.3,0.4,2.5,1,1,0,2,2,2,1,Translation initiation factor IF-2
99,539,China.pigfarm.SRR5976187,126238_00006,126238,00006,6,-,Chlor_Acetyltrans_CAT,RF0050,3.5e-10,42.1,0.2,5.2e-10,41.6,0.2,1.3,1,0,0,1,1,1,1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase"
100,844,China.pigfarm.SRR5976187,126456_00004,126456,00004,4,-,ClassD,RF0056,0.00033,22.0,0.0,0.00081,20.7,0.0,1.6,1,0,0,1,1,1,1,Stage V sporulation protein D
101,877,China.pigfarm.SRR5976187,127369_00002,127369,00002,2,-,Erm23S_rRNA_methyltrans,RF0067,3.3e-39,136.8,0.0,3.7e-39,136.6,0.0,1.0,1,0,0,1,1,1,1,Ribosomal RNA small subunit methyltransferase A
102,982,China.pigfarm.SRR5976187,127962_00014,127962,00014,14,-,RND_efflux,RF0115,0.00074,19.9,2.6,0.00074,19.9,2.6,2.1,2,0,0,2,2,2,1,hypothetical protein
103,703,China.pigfarm.SRR5976187,128040_00005,128040,00005,5,-,ClassB,RF0054,6.5e-08,34.3,0.0,1.5e-05,26.5,0.0,2.1,2,0,0,2,2,2,1,hypothetical protein
104,1219,China.pigfarm.SRR5976187,129428_00004,129428,00004,4,-,tet_ribosomoal_protect,RF0135,5.8e-11,43.6,0.9,1.2e-09,39.2,0.3,2.3,2,0,0,2,2,2,1,Elongation factor 4
105,667,China.pigfarm.SRR5976187,12994_00006,12994,00006,6,-,ClassB,RF0054,6.3e-14,54.0,0.0,7.6e-14,53.8,0.0,1.1,1,0,0,1,1,1,1,hypothetical protein
106,1124,China.pigfarm.SRR5976187,12994_00007,12994,00007,7,-,tet_ribosomoal_protect,RF0135,1.4e-45,157.9,0.3,4.1e-33,116.7,0.1,3.2,2,1,0,3,3,3,3,GTP-binding protein TypA/BipA
107,733,China.pigfarm.SRR5976187,130220_00005,130220,00005,5,-,ClassB,RF0054,8e-06,27.5,0.0,1.2e-05,26.8,0.0,1.2,1,0,0,1,1,1,1,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
108,335,China.pigfarm.SRR5976187,130347_00001,130347,00001,1,-,adeC-adeK-oprM,RF0021,1.2e-17,66.0,5.9,1.2e-17,66.0,5.9,1.6,2,0,0,2,2,2,1,Outer membrane protein TolC
109,226,China.pigfarm.SRR5976187,131126_00007,131126,00007,7,-,RND_efflux,RF0115,1.1e-251,840.3,23.2,1.2e-251,840.1,23.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA
110,142,China.pigfarm.SRR5976187,131126_00008,131126,00008,8,-,MexH,RF0099,1.9e-10,42.8,5.5,0.00021,22.9,0.0,2.1,2,0,0,2,2,2,2,Multidrug resistance protein MdtA
111,724,China.pigfarm.SRR5976187,132169_00003,132169,00003,3,-,ClassB,RF0054,1.8e-06,29.6,0.0,2.5e-06,29.1,0.0,1.1,1,0,0,1,1,1,1,Putative metallo-hydrolase YycJ
112,1258,China.pigfarm.SRR5976187,132293_00002,132293,00002,2,-,tet_MFS_efflux,RF0134,0.00037,21.6,12.0,0.00037,21.6,12.0,2.5,1,1,1,2,2,2,1,hypothetical protein
113,1100,China.pigfarm.SRR5976187,132299_00006,132299,00006,6,-,tet_ribosomoal_protect,RF0135,1e-49,171.6,0.1,5.7e-34,119.6,0.0,3.1,1,1,2,3,3,3,3,GTP-binding protein TypA/BipA
114,1284,China.pigfarm.SRR5976187,132529_00008,132529,00008,8,-,TetX,RF0136,0.00044,21.6,0.0,0.099,13.8,0.0,2.2,2,0,0,2,2,2,2,Glutamate synthase [NADPH] small chain
115,789,China.pigfarm.SRR5976187,132648_00031,132648,00031,31,-,ClassC-AmpC,RF0055,2.3e-19,71.6,0.0,2.8e-19,71.3,0.0,1.0,1,0,0,1,1,1,1,D-aminopeptidase
116,1193,China.pigfarm.SRR5976187,132648_00065,132648,00065,65,-,tet_ribosomoal_protect,RF0135,9.4e-14,52.8,1.3,1.1e-12,49.3,0.3,2.6,2,1,0,3,3,2,1,Elongation factor 4
117,332,China.pigfarm.SRR5976187,132670_00001,132670,00001,1,-,adeC-adeK-oprM,RF0021,6e-18,67.0,7.4,8.6e-18,66.5,7.4,1.1,1,0,0,1,1,1,1,hypothetical protein
118,111,China.pigfarm.SRR5976187,132670_00002,132670,00002,2,-,MexE,RF0098,3.6e-16,61.2,6.6,4.1e-08,34.7,1.8,2.6,1,1,2,3,3,3,2,p-hydroxybenzoic acid efflux pump subunit AaeA
119,35,China.pigfarm.SRR5976187,132844_00001,132844,00001,1,-,adeA-adeI,RF0019,2.7e-38,134.1,6.3,3e-38,134.0,6.3,1.0,1,0,0,1,1,1,1,Toluene efflux pump periplasmic linker protein TtgA
120,184,China.pigfarm.SRR5976187,132844_00002,132844,00002,2,-,RND_efflux,RF0115,6.4e-271,904.0,7.0,7.8e-271,903.7,7.0,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE
121,294,China.pigfarm.SRR5976187,132844_00003,132844,00003,3,-,adeC-adeK-oprM,RF0021,1.6e-62,214.0,22.9,3.2e-62,213.0,22.9,1.4,1,1,0,1,1,1,1,Cation efflux system protein CusC
122,1366,China.pigfarm.SRR5976187,132946_00005,132946,00005,5,-,vanH,RF0153,8.5e-37,129.0,0.3,3.8e-36,126.9,0.3,1.8,1,1,0,1,1,1,1,Putative 2-hydroxyacid dehydrogenase
