,target_name,target_accession,query_name,query_accession,eval_full_seq,score_full_seq,bias_full_seq,e_val_best_dom,score_best_dom,bias_best_dom,exp,reg,clu,ov,env,dom,rep,inc,target_description,sample_names,contig_id,gene_id
25,China.pigfarm.SRR5976181_ctg_132839_00007,-,RND_efflux,RF0115,7.4e-273,910.5,16.1,9e-273,910.3,16.1,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_132839,7
26,China.pigfarm.SRR5976187_ctg_2851_00002,-,RND_efflux,RF0115,1.8e-272,909.2,8.9,2.2e-272,908.9,8.9,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_2851,2
27,China.pigfarm.SRR5976181_ctg_430165_00004,-,RND_efflux,RF0115,2.1e-272,909.0,17.0,1.3e-153,515.8,15.8,2.0,2,0,0,2,2,2,2,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_430165,4
28,China.pigfarm.SRR5976187_ctg_186175_00017,-,RND_efflux,RF0115,2.2e-272,908.9,18.5,3.5e-272,908.2,18.5,1.3,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_186175,17
29,China.pigfarm.SRR5976181_ctg_578045_00016,-,RND_efflux,RF0115,3.4e-272,908.3,18.3,5.5e-272,907.7,18.3,1.3,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_578045,16
30,China.pigfarm.SRR5976187_ctg_31739_00004,-,RND_efflux,RF0115,3.8e-272,908.1,13.1,4.5e-272,907.8,13.1,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB   ,China.pigfarm.SRR5976187,ctg_31739,4
31,China.pigfarm.SRR5976181_ctg_616798_00003,-,RND_efflux,RF0115,1.2e-271,906.5,21.7,1.5e-271,906.2,21.7,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_616798,3
32,China.pigfarm.SRR5976187_ctg_367454_00005,-,RND_efflux,RF0115,5.5e-271,904.2,12.6,6.5e-271,904.0,12.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB   ,China.pigfarm.SRR5976187,ctg_367454,5
33,China.pigfarm.SRR5976181_ctg_346741_00003,-,RND_efflux,RF0115,6e-271,904.2,12.6,7.1e-271,904.0,12.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB   ,China.pigfarm.SRR5976181,ctg_346741,3
34,China.pigfarm.SRR5976181_ctg_197805_00003,-,RND_efflux,RF0115,7e-271,904.0,7.0,8.5e-271,903.7,7.0,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_197805,3
35,China.pigfarm.SRR5976187_ctg_132844_00002,-,RND_efflux,RF0115,6.4e-271,904.0,7.0,7.8e-271,903.7,7.0,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_132844,2
36,China.pigfarm.SRR5976187_ctg_270072_00002,-,RND_efflux,RF0115,7.1e-271,903.8,20.8,8.7e-271,903.6,20.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_270072,2
37,China.pigfarm.SRR5976187_ctg_217545_00005,-,RND_efflux,RF0115,1.2e-270,903.1,9.1,1.4e-270,902.8,9.1,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB   ,China.pigfarm.SRR5976187,ctg_217545,5
38,China.pigfarm.SRR5976181_ctg_28476_00003,-,RND_efflux,RF0115,3.8e-270,901.6,9.6,4.3e-270,901.4,9.6,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_28476,3
39,China.pigfarm.SRR5976181_ctg_518897_00007,-,RND_efflux,RF0115,9.4e-270,900.3,13.6,1.1e-269,900.0,13.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_518897,7
40,China.pigfarm.SRR5976181_ctg_539556_00003,-,RND_efflux,RF0115,1.5e-269,899.6,12.1,1.7e-269,899.4,12.1,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_539556,3
41,China.pigfarm.SRR5976181_ctg_683210_00002,-,RND_efflux,RF0115,2.1e-269,899.1,20.6,3.3e-269,898.5,20.6,1.2,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_683210,2
42,China.pigfarm.SRR5976181_ctg_262573_00004,-,RND_efflux,RF0115,1e-268,896.8,20.3,1.1e-268,896.7,20.3,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_262573,4
43,China.pigfarm.SRR5976187_ctg_559095_00002,-,RND_efflux,RF0115,1e-268,896.7,12.6,1.3e-268,896.4,12.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_559095,2
44,China.pigfarm.SRR5976187_ctg_629674_00001,-,RND_efflux,RF0115,3.6e-268,894.9,5.3,4.5e-268,894.6,5.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepG  ,China.pigfarm.SRR5976187,ctg_629674,1
45,China.pigfarm.SRR5976187_ctg_335447_00001,-,RND_efflux,RF0115,3.3e-267,891.7,18.4,4.1e-267,891.4,18.4,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_335447,1
46,China.pigfarm.SRR5976187_ctg_182747_00003,-,RND_efflux,RF0115,1.2e-266,889.8,17.6,1.5e-266,889.5,17.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_182747,3
47,China.pigfarm.SRR5976181_ctg_105229_00002,-,RND_efflux,RF0115,2.8e-266,888.8,16.3,3.3e-266,888.5,16.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_105229,2
48,China.pigfarm.SRR5976187_ctg_617214_00002,-,RND_efflux,RF0115,2.6e-266,888.8,16.3,3e-266,888.5,16.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976187,ctg_617214,2
49,China.pigfarm.SRR5976181_ctg_327382_00005,-,RND_efflux,RF0115,3.1e-266,888.6,17.8,3.7e-266,888.4,17.8,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_327382,5
50,China.pigfarm.SRR5976181_ctg_54292_00011,-,RND_efflux,RF0115,5.1e-266,887.9,20.1,5.7e-266,887.7,20.1,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_54292,11
51,China.pigfarm.SRR5976187_ctg_578371_00010,-,RND_efflux,RF0115,1.8e-265,885.9,20.1,2e-265,885.8,20.1,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_578371,10
52,China.pigfarm.SRR5976181_ctg_214572_00011,-,RND_efflux,RF0115,9.6e-265,883.7,13.7,1.2e-264,883.4,13.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_214572,11
53,China.pigfarm.SRR5976181_ctg_134074_00003,-,RND_efflux,RF0115,7.6e-264,880.7,17.6,8.9e-264,880.5,17.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_134074,3
54,China.pigfarm.SRR5976187_ctg_516947_00018,-,RND_efflux,RF0115,6.9e-264,880.7,17.6,8.1e-264,880.5,17.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_516947,18
55,China.pigfarm.SRR5976187_ctg_96355_00003,-,RND_efflux,RF0115,1.2e-263,879.9,17.7,1.3e-263,879.8,17.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB   ,China.pigfarm.SRR5976187,ctg_96355,3
56,China.pigfarm.SRR5976187_ctg_450078_00002,-,RND_efflux,RF0115,4.3e-263,878.1,30.2,1.2e-152,512.5,15.5,3.0,2,1,0,2,2,2,2,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_450078,2
57,China.pigfarm.SRR5976187_ctg_556411_00003,-,RND_efflux,RF0115,9.5e-263,877.0,3.6,1.1e-262,876.7,3.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_556411,3
58,China.pigfarm.SRR5976181_ctg_205899_00002,-,RND_efflux,RF0115,1.6e-262,876.3,25.7,3.5e-262,875.2,25.7,1.4,1,1,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_205899,2
59,China.pigfarm.SRR5976181_ctg_276726_00003,-,RND_efflux,RF0115,1.4e-261,873.2,13.7,1.6e-261,873.0,13.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_276726,3
60,China.pigfarm.SRR5976187_ctg_484706_00002,-,RND_efflux,RF0115,6.6e-261,870.8,17.9,7.7e-261,870.6,17.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_484706,2
61,China.pigfarm.SRR5976181_ctg_539693_00002,-,RND_efflux,RF0115,7.4e-261,870.8,18.1,8.6e-261,870.6,18.1,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_539693,2
62,China.pigfarm.SRR5976187_ctg_7782_00004,-,RND_efflux,RF0115,4.2e-260,868.2,15.2,4.9e-260,868.0,15.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_7782,4
63,China.pigfarm.SRR5976181_ctg_49010_00007,-,RND_efflux,RF0115,7.3e-260,867.5,16.8,8.5e-260,867.3,16.8,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_49010,7
64,China.pigfarm.SRR5976181_ctg_38605_00006,-,RND_efflux,RF0115,1.4e-259,866.6,14.9,1.6e-259,866.4,14.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_38605,6
65,China.pigfarm.SRR5976187_ctg_571688_00008,-,RND_efflux,RF0115,1.7e-259,866.1,15.1,2e-259,865.9,15.1,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_571688,8
66,China.pigfarm.SRR5976181_ctg_222123_00003,-,RND_efflux,RF0115,2.5e-259,865.8,19.9,2.8e-259,865.6,19.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_222123,3
67,China.pigfarm.SRR5976181_ctg_36280_00006,-,RND_efflux,RF0115,2.3e-259,865.8,14.2,3.5e-259,865.3,14.2,1.1,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_36280,6
68,China.pigfarm.SRR5976187_ctg_67578_00019,-,RND_efflux,RF0115,1.5e-258,863.0,21.2,1.7e-258,862.9,21.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_67578,19
69,China.pigfarm.SRR5976181_ctg_720211_00013,-,RND_efflux,RF0115,1.7e-258,863.0,21.2,1.8e-258,862.9,21.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_720211,13
70,China.pigfarm.SRR5976181_ctg_129823_00024,-,RND_efflux,RF0115,5.2e-258,861.4,11.5,6.5e-258,861.1,11.5,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_129823,24
71,China.pigfarm.SRR5976181_ctg_357256_00005,-,RND_efflux,RF0115,3.2e-257,858.8,27.9,3.6e-257,858.6,27.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_357256,5
72,China.pigfarm.SRR5976181_ctg_2541_00004,-,RND_efflux,RF0115,9.9e-256,853.8,20.8,1.2e-255,853.5,20.8,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_2541,4
73,China.pigfarm.SRR5976187_ctg_708846_00004,-,RND_efflux,RF0115,2.9e-255,852.2,21.1,3.5e-255,851.9,21.1,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_708846,4
74,China.pigfarm.SRR5976181_ctg_491593_00003,-,TetA-G,RF0129,1.9e-255,849.3,33.2,2.1e-255,849.1,33.2,1.0,1,0,0,1,1,1,1,"Tetracycline resistance protein, class C  ",China.pigfarm.SRR5976181,ctg_491593,3
75,China.pigfarm.SRR5976181_ctg_323710_00009,-,RND_efflux,RF0115,2.8e-254,849.0,22.0,3.2e-254,848.9,22.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_323710,9
76,China.pigfarm.SRR5976187_ctg_498854_00006,-,RND_efflux,RF0115,2.6e-254,849.0,22.0,2.9e-254,848.9,22.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_498854,6
77,China.pigfarm.SRR5976181_ctg_50163_00005,-,RND_efflux,RF0115,1.2e-253,846.9,17.1,1.4e-253,846.8,17.1,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_50163,5
78,China.pigfarm.SRR5976181_ctg_25879_00004,-,RND_efflux,RF0115,5.2e-252,841.5,20.1,5.9e-252,841.3,20.1,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_25879,4
79,China.pigfarm.SRR5976187_ctg_131126_00007,-,RND_efflux,RF0115,1.1e-251,840.3,23.2,1.2e-251,840.1,23.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_131126,7
80,China.pigfarm.SRR5976181_ctg_579086_00002,-,RND_efflux,RF0115,1.5e-251,840.0,18.0,2e-251,839.6,18.0,1.1,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_579086,2
81,China.pigfarm.SRR5976187_ctg_421381_00006,-,RND_efflux,RF0115,1.7e-251,839.7,21.8,2.1e-251,839.4,21.8,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_421381,6
82,China.pigfarm.SRR5976181_ctg_417691_00015,-,RND_efflux,RF0115,4.1e-251,838.5,21.2,5.1e-251,838.2,21.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_417691,15
83,China.pigfarm.SRR5976181_ctg_556156_00001,-,RND_efflux,RF0115,5.5e-251,838.1,9.7,6.2e-251,838.0,9.7,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_556156,1
84,China.pigfarm.SRR5976187_ctg_116252_00015,-,RND_efflux,RF0115,6.9e-251,837.7,18.0,8.6e-251,837.4,18.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_116252,15
85,China.pigfarm.SRR5976181_ctg_224479_00002,-,RND_efflux,RF0115,1.1e-250,837.2,24.2,1.4e-250,836.8,24.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_224479,2
86,China.pigfarm.SRR5976187_ctg_424859_00005,-,RND_efflux,RF0115,9.8e-251,837.2,14.2,1.1e-250,837.0,14.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_424859,5
87,China.pigfarm.SRR5976181_ctg_777444_00001,-,RND_efflux,RF0115,1.3e-250,836.9,10.6,1.6e-250,836.6,10.6,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_777444,1
88,China.pigfarm.SRR5976181_ctg_307070_00015,-,RND_efflux,RF0115,2e-250,836.3,22.8,2.3e-250,836.1,22.8,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_307070,15
89,China.pigfarm.SRR5976181_ctg_563407_00005,-,RND_efflux,RF0115,5.3e-250,834.9,22.0,6.1e-250,834.7,22.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_563407,5
90,China.pigfarm.SRR5976181_ctg_211385_00012,-,RND_efflux,RF0115,9.2e-250,834.1,24.3,1.1e-249,833.8,24.3,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_211385,12
91,China.pigfarm.SRR5976187_ctg_60519_00003,-,RND_efflux,RF0115,1.1e-249,833.7,18.2,1.3e-249,833.4,18.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_60519,3
92,China.pigfarm.SRR5976187_ctg_386840_00003,-,RND_efflux,RF0115,1.3e-249,833.4,19.8,1.5e-249,833.3,19.8,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_386840,3
93,China.pigfarm.SRR5976181_ctg_128887_00006,-,RND_efflux,RF0115,1.7e-249,833.2,22.7,2e-249,833.0,22.7,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_128887,6
94,China.pigfarm.SRR5976187_ctg_713700_00009,-,RND_efflux,RF0115,7.5e-249,830.9,10.6,9e-249,830.7,10.6,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976187,ctg_713700,9
95,China.pigfarm.SRR5976181_ctg_294472_00003,-,RND_efflux,RF0115,1.3e-248,830.3,10.2,1.5e-248,830.1,10.2,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC   ,China.pigfarm.SRR5976181,ctg_294472,3
96,China.pigfarm.SRR5976181_ctg_33325_00004,-,RND_efflux,RF0115,2.6e-248,829.3,18.6,3e-248,829.1,18.6,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_33325,4
97,China.pigfarm.SRR5976187_ctg_119817_00011,-,RND_efflux,RF0115,9.4e-248,827.3,23.2,1.2e-247,827.0,23.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976187,ctg_119817,11
98,China.pigfarm.SRR5976181_ctg_428477_00001,-,RND_efflux,RF0115,4.8e-247,825.1,21.6,5.4e-247,824.9,21.6,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_428477,1
99,China.pigfarm.SRR5976181_ctg_276371_00002,-,RND_efflux,RF0115,3.2e-246,822.4,18.4,3.7e-246,822.2,18.4,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_276371,2
100,China.pigfarm.SRR5976181_ctg_579273_00005,-,RND_efflux,RF0115,5.5e-246,821.6,13.3,6.7e-246,821.3,13.3,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB   ,China.pigfarm.SRR5976181,ctg_579273,5
101,China.pigfarm.SRR5976181_ctg_197707_00001,-,RND_efflux,RF0115,1.8e-245,819.9,21.1,2e-245,819.7,21.1,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_197707,1
102,China.pigfarm.SRR5976181_ctg_268075_00002,-,RND_efflux,RF0115,5e-245,818.4,11.0,7.8e-245,817.8,11.0,1.3,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE  ,China.pigfarm.SRR5976181,ctg_268075,2
103,China.pigfarm.SRR5976181_ctg_32005_00002,-,RND_efflux,RF0115,7.4e-245,817.8,28.6,8.5e-245,817.6,28.6,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA   ,China.pigfarm.SRR5976181,ctg_32005,2
