,full_id,contig_id,#members,known_gene_ids,unknown_gene_ids,span,members,architecture,member_scores,members_evals
15,China.pigfarm.SRR5976181_ctg_129196_00002,ctg_129196,2,"[2, 4]","[1, 3, 5]",5,"APH3'',tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(??)__(APH3'')__(??)__,__(??)__(374.9)__(??)__(34.7)__(??)__,__(??)__(3.2e-111)__(??)__(6.1e-08)__(??)__
16,China.pigfarm.SRR5976181_ctg_129823_00023,ctg_129823,2,"[23, 24]","[22, 25]",4,"MexH,RND_efflux",__(??)__(MexH)__(RND_efflux)__(??)__,__(??)__(31.7)__(861.4)__(??)__,__(??)__(4.9e-07)__(5.2e-258)__(??)__
17,China.pigfarm.SRR5976181_ctg_130373_00001,ctg_130373,2,"[1, 2]",[3],3,"MexH,RND_efflux",__(??)__(RND_efflux)__(MexH)__(??)__,__(??)__(724.1)__(32.2)__(??)__,__(??)__(1.6e-216)__(3.5e-07)__(??)__
18,China.pigfarm.SRR5976181_ctg_132839_00006,ctg_132839,3,"[6, 7, 8]","[5, 9]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(212.5)__(910.5)__(144.3)__(??)__,__(??)__(5.2e-62)__(7.4e-273)__(2.4e-41)__(??)__
19,China.pigfarm.SRR5976181_ctg_134074_00001,ctg_134074,3,"[1, 2, 3]",[4],4,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexH)__(RND_efflux)__(??)__,__(??)__(39.1)__(95.5)__(880.7)__(??)__,__(??)__(2e-09)__(2e-26)__(7.6e-264)__(??)__
20,China.pigfarm.SRR5976181_ctg_134232_00001,ctg_134232,3,"[1, 2, 3]",[4],4,"MexE,RND_efflux,adeC-adeK-oprM",__(??)__(MexE)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(56.2)__(641.0)__(51.1)__(??)__,__(??)__(1.3e-14)__(1.9e-191)__(4.5e-13)__(??)__
21,China.pigfarm.SRR5976181_ctg_135279_00003,ctg_135279,2,"[3, 4]","[2, 5]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(80.2)__(51.1)__(??)__,__(??)__(7e-22)__(4.6e-13)__(??)__
22,China.pigfarm.SRR5976181_ctg_142694_00001,ctg_142694,3,"[1, 2, 3]",[4],4,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(138.8)__(916.2)__(285.2)__(??)__,__(??)__(1.1e-39)__(1.5e-274)__(4.5e-84)__(??)__
23,China.pigfarm.SRR5976181_ctg_147388_00009,ctg_147388,2,"[9, 10]","[8, 11]",4,"MexC,RND_efflux",__(??)__(RND_efflux)__(MexC)__(??)__,__(??)__(817.3)__(33.1)__(??)__,__(??)__(1.1e-244)__(1.4e-07)__(??)__
24,China.pigfarm.SRR5976181_ctg_147532_00006,ctg_147532,2,"[6, 8]","[5, 7, 9]",5,"APH3'',tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(??)__(APH3'')__(??)__,__(??)__(289.2)__(??)__(50.0)__(??)__,__(??)__(2.8e-85)__(??)__(1.3e-12)__(??)__
25,China.pigfarm.SRR5976181_ctg_149284_00008,ctg_149284,3,"[8, 9, 10]","[7, 11]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(266.6)__(927.3)__(172.8)__(??)__,__(??)__(1.9e-78)__(6.4e-278)__(5.4e-50)__(??)__
26,China.pigfarm.SRR5976181_ctg_149524_00004,ctg_149524,2,"[4, 5]","[3, 6]",4,"MexE,adeC-adeK-oprM",__(??)__(MexE)__(adeC-adeK-oprM)__(??)__,__(??)__(56.2)__(75.3)__(??)__,__(??)__(1.3e-14)__(2e-20)__(??)__
27,China.pigfarm.SRR5976181_ctg_15191_00032,ctg_15191,2,"[32, 34]","[31, 33, 35]",5,"APH3'',tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(??)__(APH3'')__(??)__,__(??)__(301.7)__(??)__(51.6)__(??)__,__(??)__(4.9e-89)__(??)__(4.2e-13)__(??)__
28,China.pigfarm.SRR5976181_ctg_153358_00004,ctg_153358,2,"[4, 5]","[3, 6]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(37.2)__(82.2)__(??)__,__(??)__(7.8e-09)__(1.7e-22)__(??)__
29,China.pigfarm.SRR5976181_ctg_155730_00003,ctg_155730,2,"[3, 5]","[2, 4, 6]",5,"APH3'',tet_ribosomoal_protect",__(??)__(APH3'')__(??)__(tet_ribosomoal_protect)__(??)__,__(??)__(53.2)__(??)__(299.0)__(??)__,__(??)__(1.4e-13)__(??)__(3.1e-88)__(??)__
30,China.pigfarm.SRR5976181_ctg_160033_00001,ctg_160033,2,"[1, 2]",[3],3,"RND_efflux,adeA-adeI",__(??)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(655.8)__(46.3)__(??)__,__(??)__(6.8e-196)__(1.3e-11)__(??)__
31,China.pigfarm.SRR5976181_ctg_167623_00001,ctg_167623,2,"[1, 2]",[3],3,"MexH,RND_efflux",__(??)__(MexH)__(RND_efflux)__(??)__,__(??)__(38.8)__(807.9)__(??)__,__(??)__(3.4e-09)__(7.6e-242)__(??)__
32,China.pigfarm.SRR5976181_ctg_168617_00008,ctg_168617,2,"[8, 9]","[7, 10]",4,"RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(??)__,__(??)__(246.0)__(201.6)__(??)__,__(??)__(3.6e-72)__(1e-58)__(??)__
33,China.pigfarm.SRR5976181_ctg_179204_00004,ctg_179204,2,"[4, 5]","[3, 6]",4,"MexA,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexA)__(??)__,__(??)__(45.7)__(49.9)__(??)__,__(??)__(2e-11)__(1e-12)__(??)__
34,China.pigfarm.SRR5976181_ctg_184099_00010,ctg_184099,2,"[10, 11]","[9, 12]",4,"MexE,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexE)__(??)__,__(??)__(52.2)__(55.7)__(??)__,__(??)__(2.1e-13)__(1.9e-14)__(??)__
35,China.pigfarm.SRR5976181_ctg_197805_00002,ctg_197805,3,"[2, 3, 4]","[1, 5]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(214.0)__(904.0)__(134.1)__(??)__,__(??)__(1.7e-62)__(7e-271)__(3e-38)__(??)__
36,China.pigfarm.SRR5976181_ctg_200635_00001,ctg_200635,2,"[1, 2]",[3],3,"MexH,adeC-adeK-oprM",__(??)__(MexH)__(adeC-adeK-oprM)__(??)__,__(??)__(96.2)__(51.1)__(??)__,__(??)__(1.2e-26)__(4.6e-13)__(??)__
37,China.pigfarm.SRR5976181_ctg_202003_00006,ctg_202003,2,"[6, 7]","[5, 8]",4,"Chlor_Acetyltrans_CAT,Chlor_Acetyltrans_CAT",__(??)__(Chlor_Acetyltrans_CAT)__(Chlor_Acetyltrans_CAT)__(??)__,__(??)__(42.6)__(40.3)__(??)__,__(??)__(2.7e-10)__(1.4e-09)__(??)__
38,China.pigfarm.SRR5976181_ctg_204624_00002,ctg_204624,3,"[2, 3, 4]","[1, 5]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(33.3)__(670.8)__(55.2)__(??)__,__(??)__(1.1e-07)__(1.9e-200)__(2.6e-14)__(??)__
39,China.pigfarm.SRR5976181_ctg_205899_00001,ctg_205899,3,"[1, 2, 3]",[4],4,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(183.6)__(876.3)__(270.6)__(??)__,__(??)__(2.8e-53)__(1.6e-262)__(1.2e-79)__(??)__
40,China.pigfarm.SRR5976181_ctg_211385_00012,ctg_211385,2,"[12, 13]","[11, 14]",4,"MexH,RND_efflux",__(??)__(RND_efflux)__(MexH)__(??)__,__(??)__(834.1)__(28.7)__(??)__,__(??)__(9.2e-250)__(4e-06)__(??)__
41,China.pigfarm.SRR5976181_ctg_214572_00011,ctg_214572,3,"[11, 12, 13]","[10, 14]",5,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(RND_efflux)__(MexH)__(adeC-adeK-oprM)__(??)__,__(??)__(883.7)__(97.3)__(56.0)__(??)__,__(??)__(9.6e-265)__(5.7e-27)__(1.4e-14)__(??)__
42,China.pigfarm.SRR5976181_ctg_216685_00007,ctg_216685,2,"[7, 8]","[6, 9]",4,"Chlor_Efflux_Pump,Chlor_Efflux_Pump",__(??)__(Chlor_Efflux_Pump)__(Chlor_Efflux_Pump)__(??)__,__(??)__(32.1)__(26.2)__(??)__,__(??)__(3e-07)__(1.9e-05)__(??)__
43,China.pigfarm.SRR5976181_ctg_218065_00004,ctg_218065,2,"[4, 5]","[3, 6]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(64.8)__(49.7)__(??)__,__(??)__(3.4e-17)__(1.2e-12)__(??)__
44,China.pigfarm.SRR5976181_ctg_218976_00003,ctg_218976,2,"[3, 4]","[2, 5]",4,"MexE,adeC-adeK-oprM",__(??)__(MexE)__(adeC-adeK-oprM)__(??)__,__(??)__(33.4)__(76.9)__(??)__,__(??)__(1.1e-07)__(6.5e-21)__(??)__
45,China.pigfarm.SRR5976181_ctg_221707_00003,ctg_221707,2,"[3, 4]","[2, 5]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(43.8)__(42.7)__(??)__,__(??)__(8.1e-11)__(1.5e-10)__(??)__
46,China.pigfarm.SRR5976181_ctg_222123_00001,ctg_222123,3,"[1, 2, 3]",[4],4,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexH)__(RND_efflux)__(??)__,__(??)__(46.9)__(79.8)__(865.8)__(??)__,__(??)__(8.4e-12)__(1.2e-21)__(2.5e-259)__(??)__
47,China.pigfarm.SRR5976181_ctg_222167_00001,ctg_222167,3,"[1, 2, 3]",[4],4,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexH)__(RND_efflux)__(??)__,__(??)__(40.5)__(46.2)__(570.8)__(??)__,__(??)__(7.3e-10)__(1.9e-11)__(3.1e-170)__(??)__
48,China.pigfarm.SRR5976181_ctg_223310_00015,ctg_223310,2,"[15, 16]","[14, 17]",4,"MexE,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexE)__(??)__,__(??)__(38.8)__(25.7)__(??)__,__(??)__(2.4e-09)__(2.3e-05)__(??)__
49,China.pigfarm.SRR5976181_ctg_224996_00006,ctg_224996,2,"[6, 8]","[5, 7, 9]",5,"APH3'',tet_ribosomoal_protect",__(??)__(APH3'')__(??)__(tet_ribosomoal_protect)__(??)__,__(??)__(52.8)__(??)__(324.2)__(??)__,__(??)__(1.8e-13)__(??)__(7.4e-96)__(??)__
50,China.pigfarm.SRR5976181_ctg_227702_00009,ctg_227702,2,"[9, 10]","[8, 11]",4,"MexA,adeC-adeK-oprM",__(??)__(MexA)__(adeC-adeK-oprM)__(??)__,__(??)__(40.7)__(50.5)__(??)__,__(??)__(6.5e-10)__(6.8e-13)__(??)__
51,China.pigfarm.SRR5976181_ctg_231436_00001,ctg_231436,3,"[1, 2, 3]",[4],4,"MexA,RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(MexA)__(??)__,__(??)__(46.3)__(687.7)__(74.7)__(??)__,__(??)__(1.3e-11)__(1.5e-205)__(3.1e-20)__(??)__
52,China.pigfarm.SRR5976181_ctg_232496_00002,ctg_232496,2,"[2, 3]","[1, 4]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(adeA-adeI)__(??)__,__(??)__(44.5)__(30.9)__(??)__,__(??)__(4.4e-11)__(6.3e-07)__(??)__
53,China.pigfarm.SRR5976181_ctg_238272_00030,ctg_238272,2,"[30, 31]","[29, 32]",4,"tet_ribosomoal_protect,tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(tet_ribosomoal_protect)__(??)__,__(??)__(81.6)__(134.6)__(??)__,__(??)__(2e-22)__(1.8e-38)__(??)__
54,China.pigfarm.SRR5976181_ctg_238645_00005,ctg_238645,2,"[5, 6]","[4, 7]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(70.8)__(77.5)__(??)__,__(??)__(5.1e-19)__(4.5e-21)__(??)__
55,China.pigfarm.SRR5976181_ctg_238839_00001,ctg_238839,2,"[1, 2]",[3],3,"MexH,RND_efflux",__(??)__(MexH)__(RND_efflux)__(??)__,__(??)__(39.9)__(709.5)__(??)__,__(??)__(1.6e-09)__(4e-212)__(??)__
56,China.pigfarm.SRR5976181_ctg_246285_00003,ctg_246285,2,"[3, 4]","[2, 5]",4,"MexH,adeC-adeK-oprM",__(??)__(MexH)__(adeC-adeK-oprM)__(??)__,__(??)__(33.7)__(23.9)__(??)__,__(??)__(1.3e-07)__(7.9e-05)__(??)__
57,China.pigfarm.SRR5976181_ctg_246890_00001,ctg_246890,2,"[1, 2]",[3],3,"MexC,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexC)__(??)__,__(??)__(48.6)__(28.0)__(??)__,__(??)__(2.5e-12)__(4.9e-06)__(??)__
58,China.pigfarm.SRR5976181_ctg_252178_00031,ctg_252178,2,"[31, 32]","[30, 33]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(adeA-adeI)__(??)__,__(??)__(90.6)__(71.8)__(??)__,__(??)__(4.6e-25)__(2.4e-19)__(??)__
59,China.pigfarm.SRR5976181_ctg_2541_00003,ctg_2541,2,"[3, 4]","[2, 5]",4,"MexX,RND_efflux",__(??)__(MexX)__(RND_efflux)__(??)__,__(??)__(41.0)__(853.8)__(??)__,__(??)__(5.6e-10)__(9.9e-256)__(??)__
60,China.pigfarm.SRR5976181_ctg_254425_00006,ctg_254425,3,"[6, 7, 8]","[5, 9]",5,"MexA,RND_efflux,adeC-adeK-oprM",__(??)__(MexA)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(61.8)__(653.6)__(34.8)__(??)__,__(??)__(2.5e-16)__(3e-195)__(4e-08)__(??)__
61,China.pigfarm.SRR5976181_ctg_25879_00003,ctg_25879,2,"[3, 4]","[2, 5]",4,"MexH,RND_efflux",__(??)__(MexH)__(RND_efflux)__(??)__,__(??)__(39.2)__(841.5)__(??)__,__(??)__(2.6e-09)__(5.2e-252)__(??)__
62,China.pigfarm.SRR5976181_ctg_260221_00013,ctg_260221,2,"[13, 14]","[12, 15]",4,"Chlor_Efflux_Pump,vanT",__(??)__(vanT)__(Chlor_Efflux_Pump)__(??)__,__(??)__(214.7)__(25.7)__(??)__,__(??)__(1.2e-62)__(2.8e-05)__(??)__
63,China.pigfarm.SRR5976181_ctg_261597_00001,ctg_261597,2,"[1, 2]",[3],3,"RND_efflux,adeC-adeK-oprM",__(??)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(919.0)__(211.1)__(??)__,__(??)__(2.1e-275)__(1.4e-61)__(??)__
64,China.pigfarm.SRR5976181_ctg_262573_00004,ctg_262573,3,"[4, 5, 6]","[3, 7]",5,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(RND_efflux)__(MexH)__(adeC-adeK-oprM)__(??)__,__(??)__(896.8)__(79.2)__(40.2)__(??)__,__(??)__(1e-268)__(1.8e-21)__(8.9e-10)__(??)__
65,China.pigfarm.SRR5976181_ctg_268075_00001,ctg_268075,3,"[1, 2, 3]",[4],4,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(RND_efflux)__(adeC-adeK-oprM)__(??)__,__(??)__(164.8)__(818.4)__(229.5)__(??)__,__(??)__(1.4e-47)__(5e-245)__(3.4e-67)__(??)__
66,China.pigfarm.SRR5976181_ctg_27014_00003,ctg_27014,3,"[3, 4, 5]","[2, 6]",5,"RND_efflux,RND_efflux,adeA-adeI",__(??)__(RND_efflux)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(370.7)__(570.5)__(37.1)__(??)__,__(??)__(8.8e-110)__(3.8e-170)__(8.3e-09)__(??)__
67,China.pigfarm.SRR5976181_ctg_276371_00001,ctg_276371,2,"[1, 2]",[3],3,"RND_efflux,adeA-adeI",__(??)__(adeA-adeI)__(RND_efflux)__(??)__,__(??)__(37.2)__(822.4)__(??)__,__(??)__(7.9e-09)__(3.2e-246)__(??)__
68,China.pigfarm.SRR5976181_ctg_276726_00003,ctg_276726,2,"[3, 4]","[2, 5]",4,"MexH,RND_efflux",__(??)__(RND_efflux)__(MexH)__(??)__,__(??)__(873.2)__(74.4)__(??)__,__(??)__(1.4e-261)__(5.2e-20)__(??)__
69,China.pigfarm.SRR5976181_ctg_27843_00008,ctg_27843,2,"[8, 9]","[7, 10]",4,"adeA-adeI,adeC-adeK-oprM",__(??)__(adeA-adeI)__(adeC-adeK-oprM)__(??)__,__(??)__(47.7)__(78.9)__(??)__,__(??)__(5.3e-12)__(1.6e-21)__(??)__
70,China.pigfarm.SRR5976181_ctg_282256_00004,ctg_282256,2,"[4, 5]","[3, 6]",4,"ClassB,Qnr",__(??)__(Qnr)__(ClassB)__(??)__,__(??)__(23.4)__(34.1)__(??)__,__(??)__(0.0002)__(8e-08)__(??)__
71,China.pigfarm.SRR5976181_ctg_28476_00002,ctg_28476,3,"[2, 3, 4]","[1, 5]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(276.1)__(901.6)__(152.8)__(??)__,__(??)__(2.7e-81)__(3.8e-270)__(6.1e-44)__(??)__
72,China.pigfarm.SRR5976181_ctg_287041_00007,ctg_287041,2,"[7, 9]","[6, 8, 10]",5,"Chlor_Acetyltrans_CAT,ClassB",__(??)__(ClassB)__(??)__(Chlor_Acetyltrans_CAT)__(??)__,__(??)__(55.4)__(??)__(34.9)__(??)__,__(??)__(2.6e-14)__(??)__(6.2e-08)__(??)__
73,China.pigfarm.SRR5976181_ctg_287722_00003,ctg_287722,3,"[3, 4, 5]","[2, 6]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(262.0)__(954.4)__(165.9)__(??)__,__(??)__(4.9e-77)__(4e-286)__(6.3e-48)__(??)__
74,China.pigfarm.SRR5976181_ctg_29181_00003,ctg_29181,2,"[3, 4]","[2, 5]",4,"RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(??)__,__(??)__(245.3)__(678.7)__(??)__,__(??)__(5.8e-72)__(8.2e-203)__(??)__
75,China.pigfarm.SRR5976181_ctg_292780_00001,ctg_292780,3,"[1, 2, 3]",[4],4,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexH)__(RND_efflux)__(??)__,__(??)__(43.5)__(48.0)__(787.0)__(??)__,__(??)__(9.3e-11)__(5.4e-12)__(1.5e-235)__(??)__
76,China.pigfarm.SRR5976181_ctg_292813_00002,ctg_292813,2,"[2, 3]","[1, 4]",4,"tet_ribosomoal_protect,tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(tet_ribosomoal_protect)__(??)__,__(??)__(53.8)__(172.4)__(??)__,__(??)__(5.3e-14)__(6.5e-50)__(??)__
77,China.pigfarm.SRR5976181_ctg_294472_00001,ctg_294472,3,"[1, 2, 3]",[4],4,"MexH,RND_efflux,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(MexH)__(RND_efflux)__(??)__,__(??)__(23.2)__(91.2)__(830.3)__(??)__,__(??)__(0.00013)__(4.1e-25)__(1.3e-248)__(??)__
78,China.pigfarm.SRR5976181_ctg_294472_00020,ctg_294472,2,"[20, 21]","[19, 22]",4,"MexH,RND_efflux",__(??)__(MexH)__(RND_efflux)__(??)__,__(??)__(28.4)__(718.7)__(??)__,__(??)__(5e-06)__(6.7e-215)__(??)__
79,China.pigfarm.SRR5976181_ctg_304407_00034,ctg_304407,3,"[34, 35, 36]","[33, 37]",5,"RND_efflux,adeA-adeI,adeC-adeK-oprM",__(??)__(adeC-adeK-oprM)__(RND_efflux)__(adeA-adeI)__(??)__,__(??)__(45.6)__(595.7)__(74.2)__(??)__,__(??)__(2.1e-11)__(9.4e-178)__(4.5e-20)__(??)__
80,China.pigfarm.SRR5976181_ctg_307070_00014,ctg_307070,2,"[14, 15]","[13, 16]",4,"MexA,RND_efflux",__(??)__(MexA)__(RND_efflux)__(??)__,__(??)__(50.3)__(836.3)__(??)__,__(??)__(7.7e-13)__(2e-250)__(??)__
81,China.pigfarm.SRR5976181_ctg_311636_00005,ctg_311636,2,"[5, 8]","[4, 6, 7, 9]",6,"blaI,tet_ribosomoal_protect",__(??)__(tet_ribosomoal_protect)__(??)__(??)__(blaI)__(??)__,__(??)__(48.8)__(??)__(??)__(39.1)__(??)__,__(??)__(1.7e-12)__(??)__(??)__(3.2e-09)__(??)__
82,China.pigfarm.SRR5976181_ctg_313566_00001,ctg_313566,2,"[1, 3]","[2, 4]",4,"APH3'',tet_ribosomoal_protect",__(??)__(APH3'')__(??)__(tet_ribosomoal_protect)__(??)__,__(??)__(54.2)__(??)__(291.3)__(??)__,__(??)__(6.8e-14)__(??)__(6.8e-86)__(??)__
83,China.pigfarm.SRR5976181_ctg_32005_00002,ctg_32005,2,"[2, 3]","[1, 4]",4,"MexH,RND_efflux",__(??)__(RND_efflux)__(MexH)__(??)__,__(??)__(817.8)__(31.8)__(??)__,__(??)__(7.4e-245)__(4.6e-07)__(??)__
84,China.pigfarm.SRR5976181_ctg_322553_00018,ctg_322553,2,"[18, 19]","[17, 20]",4,"MexH,RND_efflux",__(??)__(RND_efflux)__(MexH)__(??)__,__(??)__(90.7)__(48.2)__(??)__,__(??)__(3.3e-25)__(4.7e-12)__(??)__
