,index,target_name,target_accession,query_name,query_accession,eval_full_seq,score_full_seq,bias_full_seq,e_val_best_dom,score_best_dom,bias_best_dom,exp,reg,clu,ov,env,dom,rep,inc,target_description,sample_names,contig_id,gene_id,sample_contig
31,2334,wwGlobalAMR.ERR2607403_ctg_108139_00005,-,RND_efflux,RF0115,3.5e-279,931.2,22.3,3.9e-279,931.0,22.3,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_108139,5,wwGlobalAMR.ERR2607403_ctg_108139
32,2335,wwGlobalAMR.ERR2607403_ctg_541573_00001,-,RND_efflux,RF0115,2e-278,928.7,1.6,2.2e-278,928.6,1.6,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_541573,1,wwGlobalAMR.ERR2607403_ctg_541573
33,2336,wwGlobalAMR.ERR2607403_ctg_645268_00001,-,RND_efflux,RF0115,7.8e-272,906.9,27.8,1e-235,787.3,22.7,2.0,2,0,0,2,2,2,2,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_645268,1,wwGlobalAMR.ERR2607403_ctg_645268
34,2337,wwGlobalAMR.ERR2607403_ctg_55692_00004,-,RND_efflux,RF0115,9.9e-271,903.2,22.5,1.2e-270,902.9,22.5,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_55692,4,wwGlobalAMR.ERR2607403_ctg_55692
35,2338,wwGlobalAMR.ERR2607403_ctg_228516_00003,-,RND_efflux,RF0115,5.2e-270,900.8,14.9,6.2e-270,900.6,14.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_228516,3,wwGlobalAMR.ERR2607403_ctg_228516
36,2339,wwGlobalAMR.ERR2607403_ctg_170142_00002,-,RND_efflux,RF0115,5.6e-269,897.4,9.3,6.9e-269,897.1,9.3,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_170142,2,wwGlobalAMR.ERR2607403_ctg_170142
37,2340,wwGlobalAMR.ERR2607403_ctg_451408_00015,-,RND_efflux,RF0115,1.1e-267,893.2,28.7,1.3e-267,892.9,28.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_451408,15,wwGlobalAMR.ERR2607403_ctg_451408
38,2341,wwGlobalAMR.ERR2607403_ctg_595475_00001,-,RND_efflux,RF0115,2e-267,892.3,16.3,2.4e-267,892.0,16.3,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_595475,1,wwGlobalAMR.ERR2607403_ctg_595475
40,2343,wwGlobalAMR.ERR2607403_ctg_428581_00003,-,RND_efflux,RF0115,1.8e-266,889.1,11.2,2.2e-266,888.8,11.2,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_428581,3,wwGlobalAMR.ERR2607403_ctg_428581
42,2345,wwGlobalAMR.ERR2607403_ctg_437547_00020,-,RND_efflux,RF0115,2.8e-265,885.2,25.8,3.4e-265,884.9,25.8,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_437547,20,wwGlobalAMR.ERR2607403_ctg_437547
44,2347,wwGlobalAMR.ERR2607403_ctg_689925_00014,-,RND_efflux,RF0115,1.6e-263,879.4,22.0,1.9e-263,879.1,22.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_689925,14,wwGlobalAMR.ERR2607403_ctg_689925
45,2348,wwGlobalAMR.ERR2607403_ctg_355649_00003,-,RND_efflux,RF0115,1.6e-263,879.3,17.2,2.4e-263,878.8,17.2,1.2,1,1,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_355649,3,wwGlobalAMR.ERR2607403_ctg_355649
46,2349,wwGlobalAMR.ERR2607403_ctg_499710_00005,-,RND_efflux,RF0115,1.6e-259,866.1,15.1,2.1e-259,865.7,15.1,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_499710,5,wwGlobalAMR.ERR2607403_ctg_499710
47,2350,wwGlobalAMR.ERR2607403_ctg_592597_00004,-,RND_efflux,RF0115,8.3e-259,863.7,23.8,1.1e-258,863.3,23.8,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_592597,4,wwGlobalAMR.ERR2607403_ctg_592597
48,2351,wwGlobalAMR.ERR2607403_ctg_475664_00025,-,RND_efflux,RF0115,3.7e-257,858.3,14.6,4.5e-257,858.0,14.6,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_475664,25,wwGlobalAMR.ERR2607403_ctg_475664
49,2352,wwGlobalAMR.ERR2607403_ctg_312768_00004,-,RND_efflux,RF0115,3.2e-256,855.2,16.2,4e-256,854.9,16.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_312768,4,wwGlobalAMR.ERR2607403_ctg_312768
50,2353,wwGlobalAMR.ERR2607403_ctg_100805_00002,-,RND_efflux,RF0115,4e-256,854.9,13.9,4.5e-256,854.7,13.9,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_100805,2,wwGlobalAMR.ERR2607403_ctg_100805
51,2354,wwGlobalAMR.ERR2607403_ctg_426885_00004,-,RND_efflux,RF0115,7.9e-254,847.3,6.5,9.4e-254,847.0,6.5,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_426885,4,wwGlobalAMR.ERR2607403_ctg_426885
53,2356,wwGlobalAMR.ERR2607403_ctg_232558_00005,-,RND_efflux,RF0115,1.8e-251,839.5,18.4,2e-251,839.3,18.4,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_232558,5,wwGlobalAMR.ERR2607403_ctg_232558
54,2357,wwGlobalAMR.ERR2607403_ctg_241104_00003,-,RND_efflux,RF0115,1.3e-248,829.9,17.9,1.5e-248,829.8,17.9,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_241104,3,wwGlobalAMR.ERR2607403_ctg_241104
55,2358,wwGlobalAMR.ERR2607403_ctg_805900_00003,-,RND_efflux,RF0115,4.5e-239,798.4,18.6,5.3e-239,798.2,18.6,1.0,1,0,0,1,1,1,1,Swarming motility protein SwrC    ,wwGlobalAMR.ERR2607403,ctg_805900,3,wwGlobalAMR.ERR2607403_ctg_805900
56,2359,wwGlobalAMR.ERR2607403_ctg_31198_00009,-,RND_efflux,RF0115,1e-237,793.9,15.9,1.2e-237,793.7,15.9,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_31198,9,wwGlobalAMR.ERR2607403_ctg_31198
57,2360,wwGlobalAMR.ERR2607403_ctg_839842_00007,-,RND_efflux,RF0115,1.7e-235,786.6,18.9,2.2e-235,786.2,18.9,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_839842,7,wwGlobalAMR.ERR2607403_ctg_839842
58,212,wwGlobalAMR.ERR2607403_ctg_128984_00025,-,adeB,RF0020,8.7e-235,783.9,3.1,1.1e-234,783.6,3.1,1.0,1,0,0,1,1,1,1,Toluene efflux pump membrane transporter TtgB  ,wwGlobalAMR.ERR2607403,ctg_128984,25,wwGlobalAMR.ERR2607403_ctg_128984
59,2361,wwGlobalAMR.ERR2607403_ctg_28289_00009,-,RND_efflux,RF0115,2.1e-234,782.9,14.9,2.5e-234,782.7,14.9,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_28289,9,wwGlobalAMR.ERR2607403_ctg_28289
60,2362,wwGlobalAMR.ERR2607403_ctg_274901_00013,-,RND_efflux,RF0115,5.5e-233,778.3,9.5,6.7e-233,778.0,9.5,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_274901,13,wwGlobalAMR.ERR2607403_ctg_274901
61,2363,wwGlobalAMR.ERR2607403_ctg_222719_00003,-,RND_efflux,RF0115,1.8e-230,769.9,12.2,2.2e-230,769.6,12.2,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_222719,3,wwGlobalAMR.ERR2607403_ctg_222719
62,2364,wwGlobalAMR.ERR2607403_ctg_675078_00002,-,RND_efflux,RF0115,3.6e-229,765.6,18.5,4.5e-229,765.3,18.5,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_675078,2,wwGlobalAMR.ERR2607403_ctg_675078
63,2365,wwGlobalAMR.ERR2607403_ctg_234702_00003,-,RND_efflux,RF0115,4.7e-229,765.3,19.3,5.3e-229,765.1,19.3,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_234702,3,wwGlobalAMR.ERR2607403_ctg_234702
64,2366,wwGlobalAMR.ERR2607403_ctg_618713_00003,-,RND_efflux,RF0115,1.2e-223,747.3,20.0,1.4e-223,747.1,20.0,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_618713,3,wwGlobalAMR.ERR2607403_ctg_618713
65,2367,wwGlobalAMR.ERR2607403_ctg_101544_00046,-,RND_efflux,RF0115,6.2e-218,728.4,14.5,8.5e-218,728.0,14.5,1.1,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_101544,46,wwGlobalAMR.ERR2607403_ctg_101544
66,325,wwGlobalAMR.ERR2607403_ctg_325508_00002,-,adeC-adeK-oprM,RF0021,3e-218,727.4,22.2,3.5e-218,727.2,22.2,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_325508,2,wwGlobalAMR.ERR2607403_ctg_325508
68,2369,wwGlobalAMR.ERR2607403_ctg_689998_00018,-,RND_efflux,RF0115,5e-214,715.5,18.5,6.8e-214,715.1,18.5,1.1,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_689998,18,wwGlobalAMR.ERR2607403_ctg_689998
69,2370,wwGlobalAMR.ERR2607403_ctg_147697_00005,-,RND_efflux,RF0115,2.9e-213,713.0,9.7,3.8e-213,712.6,9.7,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_147697,5,wwGlobalAMR.ERR2607403_ctg_147697
71,2372,wwGlobalAMR.ERR2607403_ctg_91403_00006,-,RND_efflux,RF0115,4.8e-208,695.7,18.5,5.8e-208,695.4,18.5,1.0,1,0,0,1,1,1,1,Swarming motility protein SwrC    ,wwGlobalAMR.ERR2607403,ctg_91403,6,wwGlobalAMR.ERR2607403_ctg_91403
72,2373,wwGlobalAMR.ERR2607403_ctg_739157_00003,-,RND_efflux,RF0115,5.2e-208,695.6,38.8,2.2e-182,610.7,33.5,2.0,2,0,0,2,2,2,2,Nickel and cobalt resistance protein CnrA  ,wwGlobalAMR.ERR2607403,ctg_739157,3,wwGlobalAMR.ERR2607403_ctg_739157
74,2375,wwGlobalAMR.ERR2607403_ctg_757946_00003,-,RND_efflux,RF0115,1.1e-204,684.6,35.9,9.7e-179,598.7,30.9,2.0,2,0,0,2,2,2,2,Nickel and cobalt resistance protein CnrA  ,wwGlobalAMR.ERR2607403,ctg_757946,3,wwGlobalAMR.ERR2607403_ctg_757946
76,2377,wwGlobalAMR.ERR2607403_ctg_308560_00002,-,RND_efflux,RF0115,6.9e-203,678.6,41.2,3.1e-177,593.7,35.9,2.0,2,0,0,2,2,2,2,Nickel and cobalt resistance protein CnrA  ,wwGlobalAMR.ERR2607403,ctg_308560,2,wwGlobalAMR.ERR2607403_ctg_308560
77,2378,wwGlobalAMR.ERR2607403_ctg_365626_00003,-,RND_efflux,RF0115,3.2e-198,663.2,6.8,3.7e-198,663.0,6.8,1.0,1,0,0,1,1,1,1,Cation efflux system protein CusA   ,wwGlobalAMR.ERR2607403,ctg_365626,3,wwGlobalAMR.ERR2607403_ctg_365626
79,2379,wwGlobalAMR.ERR2607403_ctg_431731_00011,-,RND_efflux,RF0115,8.6e-187,625.3,4.6,1e-186,625.1,4.6,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_431731,11,wwGlobalAMR.ERR2607403_ctg_431731
81,2381,wwGlobalAMR.ERR2607403_ctg_498659_00002,-,RND_efflux,RF0115,1.8e-186,624.3,10.4,2e-186,624.1,10.4,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_498659,2,wwGlobalAMR.ERR2607403_ctg_498659
84,3165,wwGlobalAMR.ERR2607403_ctg_570380_00030,-,tet_ribosomoal_protect,RF0135,4.5e-185,618.6,0.2,5.8e-185,618.3,0.2,1.0,1,0,0,1,1,1,1,Tetracycline resistance protein TetO    ,wwGlobalAMR.ERR2607403,ctg_570380,30,wwGlobalAMR.ERR2607403_ctg_570380
85,2383,wwGlobalAMR.ERR2607403_ctg_677021_00002,-,RND_efflux,RF0115,4.5e-179,599.8,6.8,5.5e-179,599.5,6.8,1.0,1,0,0,1,1,1,1,Multidrug resistance protein MdtB    ,wwGlobalAMR.ERR2607403,ctg_677021,2,wwGlobalAMR.ERR2607403_ctg_677021
87,2386,wwGlobalAMR.ERR2607403_ctg_16737_00004,-,RND_efflux,RF0115,1.9e-174,584.4,22.1,6.2e-101,341.1,3.6,2.0,2,0,0,2,2,2,2,Multidrug resistance protein MdtC    ,wwGlobalAMR.ERR2607403,ctg_16737,4,wwGlobalAMR.ERR2607403_ctg_16737
91,2387,wwGlobalAMR.ERR2607403_ctg_615885_00004,-,RND_efflux,RF0115,1.4e-167,561.7,26.8,1.8e-167,561.4,26.8,1.0,1,0,0,1,1,1,1,Cobalt-zinc-cadmium resistance protein CzcA    ,wwGlobalAMR.ERR2607403,ctg_615885,4,wwGlobalAMR.ERR2607403_ctg_615885
92,326,wwGlobalAMR.ERR2607403_ctg_423011_00002,-,adeC-adeK-oprM,RF0021,8.8e-166,554.4,12.3,1e-165,554.1,12.3,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_423011,2,wwGlobalAMR.ERR2607403_ctg_423011
93,219,wwGlobalAMR.ERR2607403_ctg_194800_00001,-,adeB,RF0020,4.7e-164,549.7,12.1,5.2e-164,549.6,12.1,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_194800,1,wwGlobalAMR.ERR2607403_ctg_194800
94,327,wwGlobalAMR.ERR2607403_ctg_780946_00005,-,adeC-adeK-oprM,RF0021,7.4e-164,548.0,21.7,9.8e-164,547.6,21.7,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_780946,5,wwGlobalAMR.ERR2607403_ctg_780946
95,328,wwGlobalAMR.ERR2607403_ctg_333025_00012,-,adeC-adeK-oprM,RF0021,1.1e-163,547.5,15.1,1.2e-163,547.3,15.1,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_333025,12,wwGlobalAMR.ERR2607403_ctg_333025
96,2390,wwGlobalAMR.ERR2607403_ctg_67169_00013,-,RND_efflux,RF0115,4e-163,547.0,13.0,4.6e-163,546.8,13.0,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_67169,13,wwGlobalAMR.ERR2607403_ctg_67169
97,329,wwGlobalAMR.ERR2607403_ctg_207776_00002,-,adeC-adeK-oprM,RF0021,1.4e-161,540.5,13.3,1.6e-161,540.3,13.3,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_207776,2,wwGlobalAMR.ERR2607403_ctg_207776
99,330,wwGlobalAMR.ERR2607403_ctg_449418_00007,-,adeC-adeK-oprM,RF0021,2.2e-158,530.0,17.5,2.9e-158,529.6,17.5,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_449418,7,wwGlobalAMR.ERR2607403_ctg_449418
100,908,wwGlobalAMR.ERR2607403_ctg_272928_00012,-,ClassC-AmpC,RF0055,2e-158,529.2,0.6,2.2e-158,529.0,0.6,1.0,1,0,0,1,1,1,1,Beta-lactamase       ,wwGlobalAMR.ERR2607403,ctg_272928,12,wwGlobalAMR.ERR2607403_ctg_272928
101,331,wwGlobalAMR.ERR2607403_ctg_279824_00008,-,adeC-adeK-oprM,RF0021,5.6e-158,528.6,25.2,7.5e-158,528.2,25.2,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_279824,8,wwGlobalAMR.ERR2607403_ctg_279824
102,2392,wwGlobalAMR.ERR2607403_ctg_329416_00007,-,RND_efflux,RF0115,3.3e-151,507.5,8.1,3.7e-151,507.4,8.1,1.0,1,0,0,1,1,1,1,Efflux pump membrane transporter BepE   ,wwGlobalAMR.ERR2607403,ctg_329416,7,wwGlobalAMR.ERR2607403_ctg_329416
103,332,wwGlobalAMR.ERR2607403_ctg_143324_00007,-,adeC-adeK-oprM,RF0021,1.7e-151,507.3,20.8,1.9e-151,507.1,20.8,1.0,1,0,0,1,1,1,1,Multidrug/solvent efflux pump outer membrane protein MepC ,wwGlobalAMR.ERR2607403,ctg_143324,7,wwGlobalAMR.ERR2607403_ctg_143324
105,333,wwGlobalAMR.ERR2607403_ctg_607334_00010,-,adeC-adeK-oprM,RF0021,7.2e-148,495.3,16.4,8.7e-148,495.0,16.4,1.0,1,0,0,1,1,1,1,Multidrug/solvent efflux pump outer membrane protein MepC ,wwGlobalAMR.ERR2607403,ctg_607334,10,wwGlobalAMR.ERR2607403_ctg_607334
106,334,wwGlobalAMR.ERR2607403_ctg_918883_00002,-,adeC-adeK-oprM,RF0021,3.1e-146,489.9,14.5,3.5e-146,489.7,14.5,1.0,1,0,0,1,1,1,1,Outer membrane protein OprM    ,wwGlobalAMR.ERR2607403,ctg_918883,2,wwGlobalAMR.ERR2607403_ctg_918883
